Top 20 in network string_interactions_short_210_nodes.tsv ranked by MCC method
Rank,Name,Score
1,KIF11,2.006368869022756E25
1,BUB1,2.006368869022756E25
1,CDK1,2.006368869022756E25
1,TOP2A,2.006368869022756E25
5,CEP55,2.006368869022737E25
6,NUF2,2.0063688690224926E25
7,DLGAP5,2.006368869022363E25
8,BUB1B,2.0063688638986155E25
9,KIF20A,2.0063688568222656E25
10,CCNB1,2.0063686084083533E25
11,KIF4A,2.006368090456041E25
12,MELK,2.0063678689719806E25
13,MKI67,2.006367343299028E25
14,CENPF,2.006358407543857E25
15,PRC1,2.0063566263656813E25
16,TPX2,2.0061279751923433E25
17,CDC20,2.0061277389807153E25
18,CCNA2,2.0011879773063735E25
19,TTK,2.0011879747429386E25
20,ASPM,1.990852513355706E25
