#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04270	Vascular smooth muscle contraction	18	132	0.64	0.73	0.00027	9606.ENSP00000242249,9606.ENSP00000253796,9606.ENSP00000258111,9606.ENSP00000279022,9606.ENSP00000282249,9606.ENSP00000312126,9606.ENSP00000312286,9606.ENSP00000353590,9606.ENSP00000357669,9606.ENSP00000363092,9606.ENSP00000367762,9606.ENSP00000368683,9606.ENSP00000369960,9606.ENSP00000376177,9606.ENSP00000379616,9606.ENSP00000380442,9606.ENSP00000386857,9606.ENSP00000398832	RAMP3,RAMP2,KCNMB4,MYL9,GUCY1A2,ADCY4,PLA2G1B,MYH10,NPR1,PRKG1,PLCB4,EDN1,ADRA1A,CALCRL,MYH11,PLA2G4F,ACTG2,AGTR1
hsa04360	Axon guidance	18	183	0.5	0.45	0.0081	9606.ENSP00000246792,9606.ENSP00000257414,9606.ENSP00000277895,9606.ENSP00000279022,9606.ENSP00000284136,9606.ENSP00000298159,9606.ENSP00000324857,9606.ENSP00000332164,9606.ENSP00000340998,9606.ENSP00000359085,9606.ENSP00000363708,9606.ENSP00000371936,9606.ENSP00000389140,9606.ENSP00000417335,9606.ENSP00000422591,9606.ENSP00000427985,9606.ENSP00000480680,9606.ENSP00000496491	RRAS,SEMA6A,ABLIM1,MYL9,SEMA3D,CFL2,SEMA6D,SLIT3,NTN4,NTNG1,BMPR2,SEMA5A,DCC,ROBO2,SLIT2,DPYSL2,SEMA3B,SEMA3E
hsa04060	Cytokine-cytokine receptor interaction	23	293	0.4	0.4	0.0109	9606.ENSP00000233954,9606.ENSP00000249887,9606.ENSP00000264260,9606.ENSP00000283147,9606.ENSP00000295683,9606.ENSP00000296028,9606.ENSP00000306157,9606.ENSP00000314976,9606.ENSP00000327890,9606.ENSP00000330393,9606.ENSP00000351059,9606.ENSP00000351905,9606.ENSP00000355896,9606.ENSP00000359866,9606.ENSP00000363708,9606.ENSP00000370842,9606.ENSP00000373574,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398368,9606.ENSP00000412209,9606.ENSP00000427279,9606.ENSP00000483403	IL1RL1,ACKR4,IL18RAP,BMP6,CXCR1,PPBP,IL7R,IL20RA,IL3RA,LEPR,CX3CR1,TGFBR2,TGFB2,BMP5,BMPR2,IL33,ACVRL1,IL6,IL18R1,LIFR,IL5RA,CXCL2,GHR
hsa04610	Complement and coagulation cascades	11	84	0.62	0.45	0.0109	9606.ENSP00000181383,9606.ENSP00000261405,9606.ENSP00000322061,9606.ENSP00000323929,9606.ENSP00000353393,9606.ENSP00000356037,9606.ENSP00000360281,9606.ENSP00000363869,9606.ENSP00000366307,9606.ENSP00000377783,9606.ENSP00000384957	CPB2,VWF,C7,A2M,F8,C4BPA,C8B,VSIG4,THBD,PROS1,F11
hsa04820	Cytoskeleton in muscle cells	20	231	0.44	0.41	0.0109	9606.ENSP00000052754,9606.ENSP00000232975,9606.ENSP00000259365,9606.ENSP00000265379,9606.ENSP00000279022,9606.ENSP00000284767,9606.ENSP00000306015,9606.ENSP00000349259,9606.ENSP00000351310,9606.ENSP00000353590,9606.ENSP00000356224,9606.ENSP00000360762,9606.ENSP00000363071,9606.ENSP00000366326,9606.ENSP00000367316,9606.ENSP00000379616,9606.ENSP00000386857,9606.ENSP00000467141,9606.ENSP00000496268,9606.ENSP00000498684	DCN,TNNC1,TMOD1,COL6A5,MYL9,PDLIM3,SYNPO2,SPTBN1,COL6A6,MYH10,SYNE1,ANKRD1,DES,NEBL,ITGA8,MYH11,ACTG2,TTN,SGCE,FHL1
hsa04933	AGE-RAGE signaling pathway in diabetic complications	12	99	0.59	0.44	0.0109	9606.ENSP00000297904,9606.ENSP00000331736,9606.ENSP00000351905,9606.ENSP00000355896,9606.ENSP00000360431,9606.ENSP00000364210,9606.ENSP00000366307,9606.ENSP00000367762,9606.ENSP00000368683,9606.ENSP00000385675,9606.ENSP00000398832,9606.ENSP00000500582	VEGFD,SELE,TGFBR2,TGFB2,PLCE1,AGER,THBD,PLCB4,EDN1,IL6,AGTR1,AKT3
hsa00350	Tyrosine metabolism	7	36	0.79	0.46	0.0119	9606.ENSP00000209668,9606.ENSP00000306606,9606.ENSP00000312326,9606.ENSP00000340684,9606.ENSP00000363832,9606.ENSP00000367309,9606.ENSP00000426083	ADH1A,ADH1B,AOC3,MAOA,AOX1,MAOB,ADH1C
hsa04350	TGF-beta signaling pathway	12	109	0.55	0.43	0.0119	9606.ENSP00000052754,9606.ENSP00000283147,9606.ENSP00000287727,9606.ENSP00000288840,9606.ENSP00000351905,9606.ENSP00000355896,9606.ENSP00000359866,9606.ENSP00000363708,9606.ENSP00000365280,9606.ENSP00000367972,9606.ENSP00000369154,9606.ENSP00000384126	DCN,BMP6,ZFYVE9,SMAD6,TGFBR2,TGFB2,BMP5,BMPR2,ID1,ID4,SMAD9,LRRC32
hsa04510	Focal adhesion	17	200	0.43	0.4	0.0119	9606.ENSP00000222693,9606.ENSP00000256951,9606.ENSP00000261405,9606.ENSP00000263923,9606.ENSP00000265379,9606.ENSP00000265382,9606.ENSP00000279022,9606.ENSP00000282397,9606.ENSP00000297904,9606.ENSP00000324532,9606.ENSP00000339191,9606.ENSP00000351310,9606.ENSP00000352540,9606.ENSP00000356646,9606.ENSP00000367316,9606.ENSP00000407685,9606.ENSP00000500582	CAV2,EMP1,VWF,KDR,COL6A5,PIP5K1B,MYL9,FLT1,VEGFD,LAMA3,CAV1,COL6A6,EMP2,TNR,ITGA8,TNXB,AKT3
hsa04512	ECM-receptor interaction	11	89	0.6	0.44	0.0119	9606.ENSP00000261405,9606.ENSP00000265379,9606.ENSP00000280481,9606.ENSP00000324532,9606.ENSP00000351310,9606.ENSP00000356646,9606.ENSP00000367316,9606.ENSP00000389252,9606.ENSP00000407685,9606.ENSP00000415743,9606.ENSP00000422834	VWF,COL6A5,FREM2,LAMA3,COL6A6,TNR,ITGA8,NPNT,TNXB,CD36,FRAS1
