#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP5053	Development of ureteric derived collecting system	11	48	0.86	0.67	0.0013	9606.ENSP00000052754,9606.ENSP00000262648,9606.ENSP00000280481,9606.ENSP00000280527,9606.ENSP00000355896,9606.ENSP00000359866,9606.ENSP00000363708,9606.ENSP00000367316,9606.ENSP00000377836,9606.ENSP00000422834,9606.ENSP00000497748	DCN,ANOS1,FREM2,CRIM1,TGFB2,BMP5,BMPR2,ITGA8,GPC3,FRAS1,BMPER
WP5473	Cytokine cytokine receptor interaction	22	254	0.44	0.38	0.0182	9606.ENSP00000233954,9606.ENSP00000249887,9606.ENSP00000264260,9606.ENSP00000283147,9606.ENSP00000295683,9606.ENSP00000296028,9606.ENSP00000306157,9606.ENSP00000314976,9606.ENSP00000330393,9606.ENSP00000351059,9606.ENSP00000351905,9606.ENSP00000355896,9606.ENSP00000359866,9606.ENSP00000363708,9606.ENSP00000370842,9606.ENSP00000373574,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398368,9606.ENSP00000412209,9606.ENSP00000427279,9606.ENSP00000483403	IL1RL1,ACKR4,IL18RAP,BMP6,CXCR1,PPBP,IL7R,IL20RA,LEPR,CX3CR1,TGFBR2,TGFB2,BMP5,BMPR2,IL33,ACVRL1,IL6,IL18R1,LIFR,IL5RA,CXCL2,GHR
WP98	Prostaglandin synthesis and regulation	9	46	0.8	0.42	0.0182	9606.ENSP00000244043,9606.ENSP00000264867,9606.ENSP00000264908,9606.ENSP00000278282,9606.ENSP00000287820,9606.ENSP00000296522,9606.ENSP00000366416,9606.ENSP00000368683,9606.ENSP00000478026	PTGIS,PPARGC1A,ANXA3,SCGB1A1,PPARG,HPGD,EDNRB,EDN1,ANXA8
WP1539	Angiogenesis	6	23	0.92	0.34	0.0481	9606.ENSP00000263923,9606.ENSP00000266085,9606.ENSP00000282397,9606.ENSP00000369375,9606.ENSP00000410294,9606.ENSP00000428340	KDR,TIMP3,FLT1,TEK,FGFR2,ANGPT1
WP2431	Spinal cord injury	12	115	0.52	0.31	0.0481	9606.ENSP00000257414,9606.ENSP00000263686,9606.ENSP00000282561,9606.ENSP00000306245,9606.ENSP00000311165,9606.ENSP00000332164,9606.ENSP00000363089,9606.ENSP00000385675,9606.ENSP00000414303,9606.ENSP00000422591,9606.ENSP00000427279,9606.ENSP00000471239	SEMA6A,SELP,GJA1,FOS,AQP1,SLIT3,TLR4,IL6,BDNF,SLIT2,CXCL2,ZFP36
WP2806	Complement system	11	94	0.57	0.31	0.0481	9606.ENSP00000052754,9606.ENSP00000246006,9606.ENSP00000263686,9606.ENSP00000322061,9606.ENSP00000331736,9606.ENSP00000356037,9606.ENSP00000363869,9606.ENSP00000377783,9606.ENSP00000384957,9606.ENSP00000415283,9606.ENSP00000496870	DCN,CD93,SELP,C7,SELE,C4BPA,VSIG4,PROS1,F11,ICAM2,LRP2
WP334	GPCRs class B secretin like	6	24	0.9	0.33	0.0481	9606.ENSP00000311545,9606.ENSP00000327246,9606.ENSP00000359765,9606.ENSP00000359778,9606.ENSP00000376177,9606.ENSP00000422533	ADGRE1,VIPR1,ADGRL2,ADGRL4,CALCRL,ADGRL3
WP3931	Embryonic stem cell pluripotency pathways	12	117	0.52	0.31	0.0481	9606.ENSP00000262995,9606.ENSP00000264664,9606.ENSP00000288840,9606.ENSP00000306245,9606.ENSP00000363708,9606.ENSP00000365301,9606.ENSP00000369154,9606.ENSP00000398368,9606.ENSP00000410294,9606.ENSP00000425915,9606.ENSP00000434034,9606.ENSP00000500582	GAB1,FGF10,SMAD6,FOS,BMPR2,FGF14,SMAD9,LIFR,FGFR2,SELENOP,FZD4,AKT3
WP3932	Focal adhesion PI3K Akt mTOR signaling	22	303	0.37	0.29	0.0481	9606.ENSP00000248564,9606.ENSP00000261405,9606.ENSP00000263734,9606.ENSP00000263923,9606.ENSP00000264664,9606.ENSP00000264867,9606.ENSP00000282397,9606.ENSP00000288135,9606.ENSP00000297904,9606.ENSP00000306157,9606.ENSP00000324532,9606.ENSP00000327890,9606.ENSP00000356646,9606.ENSP00000365301,9606.ENSP00000367316,9606.ENSP00000369375,9606.ENSP00000407685,9606.ENSP00000410294,9606.ENSP00000428340,9606.ENSP00000479669,9606.ENSP00000483403,9606.ENSP00000500582	GNG11,VWF,EPAS1,KDR,FGF10,PPARGC1A,FLT1,KIT,VEGFD,IL7R,LAMA3,IL3RA,TNR,FGF14,ITGA8,TEK,TNXB,FGFR2,ANGPT1,CAB39L,GHR,AKT3
WP4172	PI3K Akt signaling	24	337	0.36	0.29	0.0481	9606.ENSP00000248564,9606.ENSP00000261405,9606.ENSP00000263923,9606.ENSP00000264664,9606.ENSP00000265379,9606.ENSP00000282397,9606.ENSP00000288135,9606.ENSP00000297904,9606.ENSP00000306157,9606.ENSP00000324532,9606.ENSP00000327890,9606.ENSP00000351310,9606.ENSP00000356646,9606.ENSP00000363089,9606.ENSP00000365301,9606.ENSP00000367316,9606.ENSP00000369375,9606.ENSP00000385675,9606.ENSP00000407685,9606.ENSP00000410294,9606.ENSP00000414303,9606.ENSP00000428340,9606.ENSP00000483403,9606.ENSP00000500582	GNG11,VWF,KDR,FGF10,COL6A5,FLT1,KIT,VEGFD,IL7R,LAMA3,IL3RA,COL6A6,TNR,TLR4,FGF14,ITGA8,TEK,IL6,TNXB,FGFR2,BDNF,ANGPT1,GHR,AKT3
