#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0000278	Mitotic cell cycle	40	591	0.8	1.95	2.40e-16	9606.ENSP00000209728,9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000260731,9606.ENSP00000262460,9606.ENSP00000265148,9606.ENSP00000265748,9606.ENSP00000268138,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000298048,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000320147,9606.ENSP00000323300,9606.ENSP00000335357,9606.ENSP00000342307,9606.ENSP00000352271,9606.ENSP00000354451,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000363524,9606.ENSP00000376457,9606.ENSP00000377793,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000405726,9606.ENSP00000428489,9606.ENSP00000481380	CDC6,MYBL2,NCAPH,DLGAP5,NCAPG,CCNB1,KIF11,GINS1,CENPE,ANLN,TICRR,NUF2,BUB1B,CCNB2,MELK,PLK1,TPX2,BUB1,EZH2,SPAG5,CDKN3,FOXM1,XRCC2,IQGAP3,CENPF,KIF14,TTK,CEP55,STIL,CDC20,CENPI,KIF4A,ECT2,PRC1,KIF20A,CDK1,CHEK1,CDC45,PBK,CCNA2
GO:1903047	Mitotic cell cycle process	38	512	0.84	2.05	2.40e-16	9606.ENSP00000209728,9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000260731,9606.ENSP00000262460,9606.ENSP00000265148,9606.ENSP00000265748,9606.ENSP00000268138,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000298048,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000320147,9606.ENSP00000323300,9606.ENSP00000335357,9606.ENSP00000342307,9606.ENSP00000354451,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000363524,9606.ENSP00000376457,9606.ENSP00000377793,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000405726,9606.ENSP00000481380	CDC6,MYBL2,NCAPH,DLGAP5,NCAPG,CCNB1,KIF11,GINS1,CENPE,ANLN,TICRR,NUF2,BUB1B,CCNB2,MELK,PLK1,TPX2,BUB1,EZH2,SPAG5,CDKN3,FOXM1,IQGAP3,CENPF,KIF14,TTK,CEP55,STIL,CDC20,CENPI,KIF4A,ECT2,PRC1,KIF20A,CDK1,CHEK1,CDC45,CCNA2
GO:0007049	Cell cycle	49	989	0.67	1.59	1.36e-15	9606.ENSP00000209728,9606.ENSP00000217026,9606.ENSP00000228843,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000259008,9606.ENSP00000260731,9606.ENSP00000262460,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000265748,9606.ENSP00000268138,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000298048,9606.ENSP00000300035,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000320147,9606.ENSP00000323300,9606.ENSP00000335357,9606.ENSP00000342307,9606.ENSP00000352271,9606.ENSP00000354451,9606.ENSP00000355167,9606.ENSP00000355506,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000357643,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000363524,9606.ENSP00000376457,9606.ENSP00000377793,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000405726,9606.ENSP00000411532,9606.ENSP00000428489,9606.ENSP00000481380	CDC6,MYBL2,RAD51AP1,NCAPH,DLGAP5,NCAPG,CCNB1,BRIP1,KIF11,GINS1,SGO1,CENPE,ANLN,TICRR,NUF2,BUB1B,CCNB2,MELK,PCLAF,PLK1,TPX2,BUB1,EZH2,SPAG5,CDKN3,FOXM1,XRCC2,IQGAP3,HORMAD1,EXO1,CENPF,KIF14,ASPM,MKI67,TTK,CEP55,STIL,CDC20,CENPI,KIF4A,ECT2,PRC1,KIF20A,CDK1,CHEK1,CDC45,TOP2A,PBK,CCNA2
GO:0022402	Cell cycle process	46	902	0.68	1.6	5.35e-15	9606.ENSP00000209728,9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000259008,9606.ENSP00000260731,9606.ENSP00000262460,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000265748,9606.ENSP00000268138,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000298048,9606.ENSP00000300035,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000320147,9606.ENSP00000323300,9606.ENSP00000335357,9606.ENSP00000342307,9606.ENSP00000352271,9606.ENSP00000354451,9606.ENSP00000355167,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000357643,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000363524,9606.ENSP00000376457,9606.ENSP00000377793,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000405726,9606.ENSP00000411532,9606.ENSP00000481380	CDC6,MYBL2,NCAPH,DLGAP5,NCAPG,CCNB1,BRIP1,KIF11,GINS1,SGO1,CENPE,ANLN,TICRR,NUF2,BUB1B,CCNB2,MELK,PCLAF,PLK1,TPX2,BUB1,EZH2,SPAG5,CDKN3,FOXM1,XRCC2,IQGAP3,HORMAD1,CENPF,KIF14,ASPM,MKI67,TTK,CEP55,STIL,CDC20,CENPI,KIF4A,ECT2,PRC1,KIF20A,CDK1,CHEK1,CDC45,TOP2A,CCNA2
GO:0098813	Nuclear chromosome segregation	25	240	0.99	2.15	1.88e-13	9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000259008,9606.ENSP00000260731,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000323300,9606.ENSP00000355167,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000363524,9606.ENSP00000377793,9606.ENSP00000411532	MYBL2,NCAPH,DLGAP5,NCAPG,CCNB1,BRIP1,KIF11,SGO1,CENPE,NUF2,CCNB2,PLK1,TPX2,SPAG5,HORMAD1,CENPF,KIF14,ASPM,TTK,CEP55,CDC20,CENPI,KIF4A,PRC1,TOP2A
GO:0007059	Chromosome segregation	27	344	0.87	1.78	5.78e-12	9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000259008,9606.ENSP00000260731,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000323300,9606.ENSP00000355167,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000357643,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000363524,9606.ENSP00000377793,9606.ENSP00000411532	MYBL2,NCAPH,DLGAP5,NCAPG,CCNB1,BRIP1,KIF11,SGO1,CENPE,NUF2,CCNB2,PLK1,TPX2,BUB1,SPAG5,HORMAD1,CENPF,KIF14,ASPM,MKI67,TTK,CEP55,CDC20,CENPI,KIF4A,PRC1,TOP2A
GO:0000819	Sister chromatid segregation	19	152	1.07	2.01	4.07e-11	9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000260731,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000323300,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000363524,9606.ENSP00000377793,9606.ENSP00000411532	MYBL2,NCAPH,DLGAP5,NCAPG,CCNB1,KIF11,CENPE,NUF2,PLK1,TPX2,SPAG5,KIF14,TTK,CEP55,CDC20,CENPI,KIF4A,PRC1,TOP2A
GO:0051301	Cell division	31	528	0.74	1.48	5.76e-11	9606.ENSP00000209728,9606.ENSP00000240423,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000259008,9606.ENSP00000260731,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000265748,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000323300,9606.ENSP00000354451,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000360540,9606.ENSP00000361540,9606.ENSP00000363524,9606.ENSP00000376457,9606.ENSP00000377601,9606.ENSP00000377793,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000411532,9606.ENSP00000481380	CDC6,NCAPH,NCAPG,CCNB1,BRIP1,KIF11,SGO1,CENPE,ANLN,NUF2,BUB1B,CCNB2,PLK1,TPX2,BUB1,CKS1B,SPAG5,IQGAP3,CENPF,KIF14,ASPM,CEP55,CDC20,KIF4A,ECT2,HELLS,PRC1,KIF20A,CDK1,TOP2A,CCNA2
GO:0051276	Chromosome organization	28	422	0.79	1.57	5.86e-11	9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000259008,9606.ENSP00000260731,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000323300,9606.ENSP00000355167,9606.ENSP00000355506,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000359393,9606.ENSP00000360540,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000363524,9606.ENSP00000377793,9606.ENSP00000378699,9606.ENSP00000411532	MYBL2,NCAPH,DLGAP5,NCAPG,CCNB1,BRIP1,KIF11,SGO1,CENPE,NUF2,BUB1B,PLK1,TPX2,BUB1,SPAG5,HORMAD1,EXO1,CENPF,KIF14,TTK,HMGB3,CEP55,CDC20,CENPI,KIF4A,PRC1,CDK1,TOP2A
GO:0000070	Mitotic sister chromatid segregation	18	148	1.06	1.9	2.16e-10	9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000260731,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000323300,9606.ENSP00000356319,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000363524,9606.ENSP00000377793	MYBL2,NCAPH,DLGAP5,NCAPG,CCNB1,KIF11,CENPE,NUF2,PLK1,TPX2,SPAG5,KIF14,TTK,CEP55,CDC20,CENPI,KIF4A,PRC1
