#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005819	Spindle	25	453	0.71	1.17	8.38e-08	9606.ENSP00000209728,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000256447,9606.ENSP00000260731,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000305204,9606.ENSP00000323300,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000363524,9606.ENSP00000374265,9606.ENSP00000376457,9606.ENSP00000377492,9606.ENSP00000377793,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000501146	CDC6,DLGAP5,CCNB1,CD180,KIF11,SGO1,CENPE,BUB1B,PLK1,TPX2,CKAP2L,SPAG5,CENPF,KIF14,ASPM,TTK,CDC20,KIF4A,GPX2,ECT2,HMMR,PRC1,KIF20A,CDK1,HNF4G
GO:0005576	Extracellular region	82	3988	0.29	0.67	3.73e-07	9606.ENSP00000188790,9606.ENSP00000215743,9606.ENSP00000217939,9606.ENSP00000218388,9606.ENSP00000219022,9606.ENSP00000221992,9606.ENSP00000222271,9606.ENSP00000225964,9606.ENSP00000252809,9606.ENSP00000255409,9606.ENSP00000256412,9606.ENSP00000257264,9606.ENSP00000260128,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000261622,9606.ENSP00000263326,9606.ENSP00000263735,9606.ENSP00000264613,9606.ENSP00000265000,9606.ENSP00000265171,9606.ENSP00000265769,9606.ENSP00000274793,9606.ENSP00000275358,9606.ENSP00000277903,9606.ENSP00000283871,9606.ENSP00000286758,9606.ENSP00000289429,9606.ENSP00000296370,9606.ENSP00000296695,9606.ENSP00000304408,9606.ENSP00000305603,9606.ENSP00000305731,9606.ENSP00000307519,9606.ENSP00000307540,9606.ENSP00000308815,9606.ENSP00000318270,9606.ENSP00000318437,9606.ENSP00000322788,9606.ENSP00000327368,9606.ENSP00000330523,9606.ENSP00000337060,9606.ENSP00000340989,9606.ENSP00000352584,9606.ENSP00000355751,9606.ENSP00000356024,9606.ENSP00000356198,9606.ENSP00000356991,9606.ENSP00000357668,9606.ENSP00000359114,9606.ENSP00000360299,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000362108,9606.ENSP00000362814,9606.ENSP00000363001,9606.ENSP00000365773,9606.ENSP00000368727,9606.ENSP00000369129,9606.ENSP00000373364,9606.ENSP00000375829,9606.ENSP00000378177,9606.ENSP00000378517,9606.ENSP00000378699,9606.ENSP00000379377,9606.ENSP00000381008,9606.ENSP00000387498,9606.ENSP00000391090,9606.ENSP00000391490,9606.ENSP00000416037,9606.ENSP00000416293,9606.ENSP00000416561,9606.ENSP00000432568,9606.ENSP00000433277,9606.ENSP00000436812,9606.ENSP00000444628,9606.ENSP00000458585,9606.ENSP00000482841,9606.ENSP00000483621,9606.ENSP00000485028,9606.ENSP00000488437,9606.ENSP00000498748	FAP,MMP11,MXRA5,TIMP1,OLFM4,CEACAM5,COMP,COL1A1,GDF15,CHI3L1,ADAMDEC1,TCN1,SULF1,MMP7,MMP13,SLC7A5,IL37,EPCAM,CP,GALNT7,EGF,ADAM28,PLA2G7,VWDE,HABP2,HGD,CXCL13,CD1A,S100P,SPINK1,COL3A1,FUT3,CST1,TMPRSS11E,CST2,CCL19,PROM2,FDCSP,MMP1,COL10A1,CTHRC1,NME1,SFN,AKR1B10,THBS2,CR2,CHIT1,NECTIN4,ADAM12,COL11A1,ADGRF1,MMP9,PLAU,LCN2,SERINC2,SMPDL3B,PSAT1,XDH,DSP,GOLM1,LAD1,CEMIP,SPP1,CDK1,GCNT3,MUC16,FUT2,CHEK1,AGR2,TMPRSS4,SLC2A1,CFB,SPTBN2,MS4A1,MUC5B,GLB1L2,MMP12,CRABP2,CABYR,MUC13,PRSS2,GREM1
GO:0072686	Mitotic spindle	16	195	0.89	1.25	5.27e-07	9606.ENSP00000209728,9606.ENSP00000247191,9606.ENSP00000256447,9606.ENSP00000260731,9606.ENSP00000265148,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000305204,9606.ENSP00000323300,9606.ENSP00000356379,9606.ENSP00000374265,9606.ENSP00000376457,9606.ENSP00000377793,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000501146	CDC6,DLGAP5,CD180,KIF11,CENPE,PLK1,TPX2,CKAP2L,SPAG5,ASPM,GPX2,ECT2,PRC1,KIF20A,CDK1,HNF4G
GO:0000793	Condensed chromosome	18	289	0.77	1.07	1.95e-06	9606.ENSP00000240423,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000323300,9606.ENSP00000355167,9606.ENSP00000355922,9606.ENSP00000357643,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000391090,9606.ENSP00000411532	NCAPH,NCAPG,CCNB1,SGO1,CENPE,NUF2,BUB1B,PLK1,BUB1,SPAG5,HORMAD1,CENPF,MKI67,TTK,CDC20,CENPI,CHEK1,TOP2A
GO:0031012	Extracellular matrix	23	483	0.65	0.97	1.95e-06	9606.ENSP00000215743,9606.ENSP00000217939,9606.ENSP00000218388,9606.ENSP00000222271,9606.ENSP00000225964,9606.ENSP00000252809,9606.ENSP00000255409,9606.ENSP00000256412,9606.ENSP00000260128,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000304408,9606.ENSP00000322788,9606.ENSP00000327368,9606.ENSP00000330523,9606.ENSP00000355751,9606.ENSP00000359114,9606.ENSP00000361405,9606.ENSP00000375829,9606.ENSP00000436812,9606.ENSP00000458585,9606.ENSP00000488437,9606.ENSP00000498748	MMP11,MXRA5,TIMP1,COMP,COL1A1,GDF15,CHI3L1,ADAMDEC1,SULF1,MMP7,MMP13,COL3A1,MMP1,COL10A1,CTHRC1,THBS2,COL11A1,MMP9,LAD1,MUC5B,MMP12,PRSS2,GREM1
GO:0005615	Extracellular space	67	3120	0.3	0.66	2.14e-06	9606.ENSP00000188790,9606.ENSP00000215743,9606.ENSP00000217939,9606.ENSP00000218388,9606.ENSP00000219022,9606.ENSP00000221992,9606.ENSP00000222271,9606.ENSP00000225964,9606.ENSP00000252809,9606.ENSP00000255409,9606.ENSP00000257264,9606.ENSP00000260128,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000261622,9606.ENSP00000263326,9606.ENSP00000263735,9606.ENSP00000264613,9606.ENSP00000265000,9606.ENSP00000265171,9606.ENSP00000274793,9606.ENSP00000277903,9606.ENSP00000283871,9606.ENSP00000286758,9606.ENSP00000289429,9606.ENSP00000296370,9606.ENSP00000296695,9606.ENSP00000304408,9606.ENSP00000305603,9606.ENSP00000305731,9606.ENSP00000307540,9606.ENSP00000308815,9606.ENSP00000318270,9606.ENSP00000330523,9606.ENSP00000337060,9606.ENSP00000340989,9606.ENSP00000356024,9606.ENSP00000356198,9606.ENSP00000356991,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000362108,9606.ENSP00000362814,9606.ENSP00000363001,9606.ENSP00000365773,9606.ENSP00000368727,9606.ENSP00000369129,9606.ENSP00000373364,9606.ENSP00000375829,9606.ENSP00000378517,9606.ENSP00000378699,9606.ENSP00000379377,9606.ENSP00000381008,9606.ENSP00000387498,9606.ENSP00000391090,9606.ENSP00000391490,9606.ENSP00000416037,9606.ENSP00000416293,9606.ENSP00000416561,9606.ENSP00000432568,9606.ENSP00000433277,9606.ENSP00000436812,9606.ENSP00000458585,9606.ENSP00000482841,9606.ENSP00000485028,9606.ENSP00000488437,9606.ENSP00000498748	FAP,MMP11,MXRA5,TIMP1,OLFM4,CEACAM5,COMP,COL1A1,GDF15,CHI3L1,TCN1,SULF1,MMP7,MMP13,SLC7A5,IL37,EPCAM,CP,GALNT7,EGF,PLA2G7,HABP2,HGD,CXCL13,CD1A,S100P,SPINK1,COL3A1,FUT3,CST1,CST2,CCL19,PROM2,CTHRC1,NME1,SFN,CR2,CHIT1,NECTIN4,MMP9,PLAU,LCN2,SERINC2,SMPDL3B,PSAT1,XDH,DSP,GOLM1,LAD1,SPP1,CDK1,GCNT3,MUC16,FUT2,CHEK1,AGR2,TMPRSS4,SLC2A1,CFB,SPTBN2,MS4A1,MUC5B,MMP12,CRABP2,MUC13,PRSS2,GREM1
GO:0000775	Chromosome, centromeric region	16	254	0.77	1.01	6.74e-06	9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000320147,9606.ENSP00000323300,9606.ENSP00000355922,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000377601,9606.ENSP00000411532	NCAPG,CCNB1,SGO1,CENPE,NUF2,BUB1B,PLK1,BUB1,EZH2,SPAG5,CENPF,TTK,CDC20,CENPI,HELLS,TOP2A
GO:0098687	Chromosomal region	19	398	0.65	0.86	1.99e-05	9606.ENSP00000228843,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000320147,9606.ENSP00000323300,9606.ENSP00000355922,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000377601,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000411532	RAD51AP1,NCAPG,CCNB1,SGO1,CENPE,NUF2,BUB1B,PLK1,BUB1,EZH2,SPAG5,CENPF,TTK,CDC20,CENPI,HELLS,CDK1,CHEK1,TOP2A
GO:0030496	Midbody	14	214	0.79	0.93	2.61e-05	9606.ENSP00000265148,9606.ENSP00000265748,9606.ENSP00000300093,9606.ENSP00000323300,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000360540,9606.ENSP00000363524,9606.ENSP00000376457,9606.ENSP00000377793,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000416293	CENPE,ANLN,PLK1,SPAG5,CENPF,KIF14,ASPM,CEP55,KIF4A,ECT2,PRC1,KIF20A,CDK1,SLC2A1
GO:0000922	Spindle pole	13	184	0.82	0.95	2.92e-05	9606.ENSP00000209728,9606.ENSP00000247191,9606.ENSP00000256442,9606.ENSP00000260731,9606.ENSP00000263753,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000305204,9606.ENSP00000323300,9606.ENSP00000355922,9606.ENSP00000356379,9606.ENSP00000361540,9606.ENSP00000377793	CDC6,DLGAP5,CCNB1,KIF11,SGO1,PLK1,TPX2,CKAP2L,SPAG5,CENPF,ASPM,CDC20,PRC1
