#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-1640170	Cell Cycle	32	653	0.66	1.23	3.64e-09	9606.ENSP00000209728,9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000259008,9606.ENSP00000262460,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000268138,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000315644,9606.ENSP00000340989,9606.ENSP00000342307,9606.ENSP00000353770,9606.ENSP00000355506,9606.ENSP00000355922,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000377492,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000405726,9606.ENSP00000411532,9606.ENSP00000481380	CDC6,MYBL2,NCAPH,NCAPG,CCNB1,BRIP1,GINS1,SGO1,CENPE,TICRR,NUF2,BUB1B,CCNB2,PLK1,TPX2,BUB1,CKS1B,TYMS,SFN,FOXM1,RRM2,EXO1,CENPF,CDC20,CENPI,HMMR,KIF20A,CDK1,CHEK1,CDC45,TOP2A,CCNA2
HSA-69278	Cell Cycle, Mitotic	28	517	0.71	1.27	5.59e-09	9606.ENSP00000209728,9606.ENSP00000217026,9606.ENSP00000240423,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000262460,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000268138,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000311083,9606.ENSP00000315644,9606.ENSP00000342307,9606.ENSP00000353770,9606.ENSP00000355922,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000377492,9606.ENSP00000378356,9606.ENSP00000378699,9606.ENSP00000405726,9606.ENSP00000411532,9606.ENSP00000481380	CDC6,MYBL2,NCAPH,NCAPG,CCNB1,GINS1,SGO1,CENPE,TICRR,NUF2,BUB1B,CCNB2,PLK1,TPX2,BUB1,CKS1B,TYMS,FOXM1,RRM2,CENPF,CDC20,CENPI,HMMR,KIF20A,CDK1,CDC45,TOP2A,CCNA2
HSA-69620	Cell Cycle Checkpoints	19	271	0.82	1.23	2.26e-07	9606.ENSP00000209728,9606.ENSP00000256442,9606.ENSP00000259008,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000340989,9606.ENSP00000355506,9606.ENSP00000355922,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000405726,9606.ENSP00000481380	CDC6,CCNB1,BRIP1,SGO1,CENPE,NUF2,BUB1B,CCNB2,PLK1,BUB1,SFN,EXO1,CENPF,CDC20,CENPI,CDK1,CHEK1,CDC45,CCNA2
HSA-1442490	Collagen degradation	11	64	1.21	1.54	2.33e-07	9606.ENSP00000215743,9606.ENSP00000225964,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000304408,9606.ENSP00000322788,9606.ENSP00000327368,9606.ENSP00000359114,9606.ENSP00000361405,9606.ENSP00000458585,9606.ENSP00000488437	MMP11,COL1A1,MMP7,MMP13,COL3A1,MMP1,COL10A1,COL11A1,MMP9,MMP12,PRSS2
HSA-1474228	Degradation of the extracellular matrix	13	140	0.94	1.16	3.82e-06	9606.ENSP00000215743,9606.ENSP00000218388,9606.ENSP00000225964,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000304408,9606.ENSP00000322788,9606.ENSP00000327368,9606.ENSP00000359114,9606.ENSP00000361405,9606.ENSP00000378517,9606.ENSP00000458585,9606.ENSP00000488437	MMP11,TIMP1,COL1A1,MMP7,MMP13,COL3A1,MMP1,COL10A1,COL11A1,MMP9,SPP1,MMP12,PRSS2
HSA-69273	Cyclin A/B1/B2 associated events during G2/M transition	8	32	1.37	1.36	3.82e-06	9606.ENSP00000256442,9606.ENSP00000263753,9606.ENSP00000268138,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000342307,9606.ENSP00000378699,9606.ENSP00000481380	CCNB1,SGO1,TICRR,CCNB2,PLK1,FOXM1,CDK1,CCNA2
HSA-2500257	Resolution of Sister Chromatid Cohesion	12	126	0.95	1.1	9.32e-06	9606.ENSP00000256442,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000355922,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000378699	CCNB1,SGO1,CENPE,NUF2,BUB1B,CCNB2,PLK1,BUB1,CENPF,CDC20,CENPI,CDK1
HSA-156711	Polo-like kinase mediated events	6	16	1.55	1.22	2.34e-05	9606.ENSP00000217026,9606.ENSP00000256442,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000342307,9606.ENSP00000355922	MYBL2,CCNB1,CCNB2,PLK1,FOXM1,CENPF
HSA-68877	Mitotic Prometaphase	14	202	0.81	0.96	2.34e-05	9606.ENSP00000240423,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000355922,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000378699	NCAPH,NCAPG,CCNB1,SGO1,CENPE,NUF2,BUB1B,CCNB2,PLK1,BUB1,CENPF,CDC20,CENPI,CDK1
HSA-1592389	Activation of Matrix Metalloproteinases	7	33	1.3	1.1	4.52e-05	9606.ENSP00000215743,9606.ENSP00000218388,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000322788,9606.ENSP00000361405,9606.ENSP00000488437	MMP11,TIMP1,MMP7,MMP13,MMP1,MMP9,PRSS2
