#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP2446	Retinoblastoma gene in cancer	12	87	1.11	1.41	5.50e-07	9606.ENSP00000256442,9606.ENSP00000265748,9606.ENSP00000288207,9606.ENSP00000315644,9606.ENSP00000353770,9606.ENSP00000358813,9606.ENSP00000363524,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000405726,9606.ENSP00000411532,9606.ENSP00000481380	CCNB1,ANLN,CCNB2,TYMS,RRM2,TTK,KIF4A,CDK1,CHEK1,CDC45,TOP2A,CCNA2
WP179	Cell cycle	12	120	0.97	1.13	7.65e-06	9606.ENSP00000209728,9606.ENSP00000256442,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000340989,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000405726,9606.ENSP00000481380	CDC6,CCNB1,CCNB2,PLK1,BUB1,SFN,TTK,CDC20,CDK1,CHEK1,CDC45,CCNA2
WP129	Matrix metalloproteinases	7	30	1.34	1.14	3.31e-05	9606.ENSP00000215743,9606.ENSP00000218388,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000322788,9606.ENSP00000361405,9606.ENSP00000458585	MMP11,TIMP1,MMP7,MMP13,MMP1,MMP9,MMP12
WP3624	Lung fibrosis	8	63	1.08	0.9	0.00019	9606.ENSP00000218388,9606.ENSP00000265171,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000369129,9606.ENSP00000378517,9606.ENSP00000436812,9606.ENSP00000498748	TIMP1,EGF,MMP9,PLAU,DSP,SPP1,MUC5B,GREM1
WP2361	Gastric cancer network 1	6	28	1.3	0.92	0.00026	9606.ENSP00000217026,9606.ENSP00000296370,9606.ENSP00000300403,9606.ENSP00000355922,9606.ENSP00000376457,9606.ENSP00000411532	MYBL2,S100P,TPX2,CENPF,ECT2,TOP2A
WP5283	Chronic hyperglycemia impairment of neuron function	7	46	1.15	0.89	0.00026	9606.ENSP00000215743,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000322788,9606.ENSP00000361405,9606.ENSP00000416293,9606.ENSP00000458585	MMP11,MMP7,MMP13,MMP1,MMP9,SLC2A1,MMP12
WP4240	Regulation of sister chromatid separation at the metaphase anaphase transition	4	14	1.43	0.63	0.0045	9606.ENSP00000265148,9606.ENSP00000287598,9606.ENSP00000302530,9606.ENSP00000361540	CENPE,BUB1B,BUB1,CDC20
WP4016	DNA IR damage and cellular response via ATR	7	81	0.91	0.57	0.0049	9606.ENSP00000259008,9606.ENSP00000300093,9606.ENSP00000342307,9606.ENSP00000355506,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000405726	BRIP1,PLK1,FOXM1,EXO1,CDK1,CHEK1,CDC45
WP5213	Amino acid metabolism in triple negative breast cancer cells	3	7	1.6	0.51	0.0140	9606.ENSP00000280612,9606.ENSP00000365773,9606.ENSP00000416293	SLC7A11,PSAT1,SLC2A1
WP5218	Extrafollicular and follicular B cell activation by SARS CoV 2	6	72	0.89	0.45	0.0168	9606.ENSP00000221972,9606.ENSP00000286758,9606.ENSP00000308815,9606.ENSP00000354691,9606.ENSP00000356024,9606.ENSP00000433277	CD79A,CXCL13,CCL19,FCRL5,CR2,MS4A1
WP5373	Osteoarthritic chondrocyte hypertrophy	5	49	0.98	0.43	0.0207	9606.ENSP00000225964,9606.ENSP00000260302,9606.ENSP00000304408,9606.ENSP00000327368,9606.ENSP00000378517	COL1A1,MMP13,COL3A1,COL10A1,SPP1
WP5390	Pancreatic cancer subtypes	5	48	0.99	0.44	0.0207	9606.ENSP00000254051,9606.ENSP00000260843,9606.ENSP00000391490,9606.ENSP00000416293,9606.ENSP00000428876	TNS4,GPR87,AGR2,SLC2A1,FAM83A
WP1434	Osteopontin signaling	3	13	1.34	0.37	0.0432	9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000378517	MMP9,PLAU,SPP1
WP474	Endochondral ossification	5	62	0.88	0.34	0.0485	9606.ENSP00000260302,9606.ENSP00000327368,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000378517	MMP13,COL10A1,MMP9,PLAU,SPP1
WP4808	Endochondral ossification with skeletal dysplasias	5	62	0.88	0.34	0.0485	9606.ENSP00000260302,9606.ENSP00000327368,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000378517	MMP13,COL10A1,MMP9,PLAU,SPP1
